#time,accel_x,accel_y,accel_z
206.391855,1480.411884,5033.400406,-79061.055394
206.394427,1036.288319,4589.276840,-78907.836294
206.397000,1332.370696,4441.235652,-78907.836294
206.399573,1332.370696,4737.318029,-78907.836294
206.402145,1332.370696,4737.318029,-79061.055394
206.404718,1776.494261,4441.235652,-77988.521696
206.407291,1628.453072,4441.235652,-78601.398095
206.409864,2368.659014,4441.235652,-78448.178995
206.412436,1332.370696,4737.318029,-79061.055394
206.415009,1480.411884,4885.359217,-78754.617194
206.417582,1332.370696,5033.400406,-78754.617194
206.420154,888.247130,5033.400406,-78754.617194
206.422727,-1332.370696,5181.441594,-80286.808190
206.425300,2960.823768,4737.318029,-80746.465489
206.427872,-6809.894666,8882.471304,-80133.589091
206.430446,-2072.576638,12879.583391,-77222.426198
206.433019,7105.977043,6957.935855,-78907.836294
206.435592,3701.029710,9770.718434,-76456.330700
206.438165,-3701.029710,9622.677246,-76303.111601
206.440738,-9770.718434,15544.324782,-74311.263306
206.443311,-7846.182985,13175.665768,-76149.892501
206.445884,1628.453072,2960.823768,-77835.302597
206.448457,-5921.647536,5773.606348,-77835.302597
206.451030,3552.988522,4145.153275,-81206.122788
206.453603,-2960.823768,-2960.823768,-84883.381178
206.456176,6957.935855,13915.871710,-76915.987999
206.458749,888.247130,-5181.441594,-81818.999186
206.461322,-592.164754,-3701.029710,-86722.010374
206.463895,7550.100608,12583.501014,-85496.257577
206.466468,-8438.347739,4737.318029,-77069.207099
206.469041,11251.130318,-5033.400406,-72932.291410
206.471614,592.164754,592.164754,-85343.038477
206.474187,1628.453072,9622.677246,-73698.386908
206.476761,296.082377,-1776.494261,-73238.729609
206.479334,11695.253884,-3701.029710,-79827.150892
206.481907,4145.153275,444.123565,-82585.094684
206.484480,4589.276840,5477.523971,-75230.577904
206.487053,3701.029710,3552.988522,-77069.207099
206.489626,4737.318029,-1036.288319,-81665.780087
206.492199,9474.636058,5033.400406,-76915.987999
206.494772,7402.059420,1480.411884,-77835.302597
206.497345,5033.400406,296.082377,-79673.931792
206.499918,6217.729913,-1776.494261,-80746.465489
206.502491,8882.471304,-740.205942,-78601.398095
206.505064,11103.089130,-4293.194464,-81972.218286
206.507637,7550.100608,1184.329507,-79673.931792
206.510210,1628.453072,6217.729913,-76915.987999
206.512783,3997.112087,2812.782580,-78294.959896
206.515356,6365.771101,-592.164754,-77835.302597
206.517929,14656.077652,-10066.800811,-77988.521696
206.520502,-9622.677246,9622.677246,-79827.150892
206.523076,1628.453072,7402.059420,-77069.207099
206.525649,12435.459826,-5033.400406,-75230.577904
206.528222,-10362.883188,-1924.535449,-84576.942979
206.530795,23390.507767,-1480.411884,-79520.712692
206.533368,-5773.606348,1332.370696,-79367.493593
206.535941,31384.731941,8734.430116,-66650.308326
206.538515,-54923.280896,5773.606348,-82431.875585
206.541088,55071.322085,11991.336260,-67416.403824
206.543661,-36714.214723,14508.036463,-83657.628382
206.546235,59364.516548,-23390.507767,-79980.369991
206.548808,-19245.354492,2368.659014,-76609.549800
206.551381,16728.654289,10658.965565,-70021.128517
206.553955,-28571.949361,32124.937883,-83351.190182
206.556528,21465.972318,6365.771101,-68335.718422
206.559101,-3108.864956,-17616.901420,-83351.190182
206.561675,-7698.141797,10214.842000,-86875.229473
206.564248,-4145.153275,34049.473332,-74158.044206
206.566821,-15100.201217,-8734.430116,-83351.190182
206.569395,18061.024985,9030.512492,-78754.617194
206.571968,-17912.983796,592.164754,-86109.133975
206.574542,1776.494261,18209.066173,-71093.662214
206.577115,-5477.523971,-296.082377,-88407.420469
206.579688,2220.617826,10658.965565,-78754.617194
206.582262,-6513.812290,7402.059420,-75230.577904
206.584835,-3997.112087,13027.624579,-76456.330700
206.587408,1184.329507,6513.812290,-83504.409282
206.589982,2812.782580,8290.306550,-74004.825107
206.592555,5181.441594,3701.029710,-74617.701505
206.595128,-1184.329507,5477.523971,-81052.903688
206.597702,-2368.659014,6217.729913,-80593.246390
206.600275,-5181.441594,11399.171507,-76149.892501
206.602848,-2664.741391,16432.571912,-78141.740796
206.605422,-7994.224174,10362.883188,-79673.931792
206.607995,11399.171507,740.205942,-75230.577904
206.610568,-4145.153275,0.000000,-80440.027290
206.613142,-4441.235652,14656.077652,-80286.808190
206.615715,-10362.883188,18505.148550,-77682.083497
206.618288,7254.018232,-1036.288319,-77835.302597
